Tx1,Tx2,Tx3,w,S11_1,S11_2,S11_3,Freq_1,Freq_2,Freq_3
12.0,9.5,4.0,17.0,-16.38792224644577,-16.790397865330053,-7.892944406643677,3.724,5.974,7.468
12.0,9.5,4.0,17.5,-14.76642009661236,-18.22917122579776,-7.402658668188041,3.724,5.968,7.468
12.0,9.5,4.0,18.0,-13.783900998736682,-19.73699812139494,-7.109364836553577,3.73,5.968,7.462
12.0,9.5,4.0,18.5,-12.774398425891729,-21.83658496047021,-6.894724840937295,3.73,5.968,7.456
12.0,9.5,4.5,16.0,-16.665451099057584,-12.768577969772938,-7.775394511796801,3.664,5.8420000000000005,7.438
12.0,9.5,4.5,16.5,-15.174019802595756,-13.583309310476055,-7.29437411617759,3.67,5.848,7.444
12.0,9.5,4.5,17.0,-13.811414048064306,-14.634362183904804,-6.930048352266391,3.682,5.859999999999999,7.444
12.0,9.5,4.5,17.5,-12.778873730233872,-15.939697498810112,-6.592243398268591,3.688,5.866,7.45
12.0,9.5,4.5,18.0,-11.845924884993735,-17.197205267413263,-6.227367864445625,3.694,5.872,7.45
12.0,9.5,4.5,18.5,-11.028674945238627,-18.938438204406477,-5.876086841626123,3.7,5.878,7.456
12.0,9.5,5.0,16.0,-14.338571009389366,-11.347221728680408,-6.598807600047497,3.61,5.698,7.384
12.0,9.5,5.0,16.5,-13.017894884607678,-12.12792037949635,-6.214216808585028,3.622,5.71,7.396
12.0,9.5,5.0,17.0,-11.897684709859533,-12.963195557236762,-5.943029129396815,3.634,5.722,7.39
12.0,9.5,5.0,17.5,-11.03293769287234,-13.914858528608304,-5.660809830870125,3.634,5.728,7.39
12.0,9.5,5.0,18.0,-10.253236759840096,-14.277474113426116,-5.215135859470927,3.622,5.71,7.366
12.0,9.5,5.0,18.5,-9.73770077674883,-15.010881238085558,-4.771718144856026,3.61,5.704000000000001,7.348
12.0,9.5,5.5,16.0,-12.157538260815777,-10.523014529247662,-5.389276956137508,3.5620000000000003,5.554,7.33
12.0,9.5,5.5,16.5,-11.075693062072473,-11.200979371843667,-5.079652927796873,3.574,5.566000000000001,7.33
12.0,9.5,5.5,17.0,-10.269212474165537,-11.910820629735436,-4.835177371126924,3.58,5.572,7.336
12.0,9.5,5.5,17.5,-9.54899425398355,-12.71767734394729,-4.502314863880338,3.5860000000000003,5.584,7.342
12.0,9.5,5.5,18.0,-8.875947164540763,-13.656346117302396,-4.282111625228529,3.592,5.59,7.336
12.0,9.5,5.5,18.5,-8.302790378993757,-14.63850012155275,-4.076107155700597,3.592,5.596,7.336
12.0,9.5,6.0,16.0,-10.26125061217903,-9.917467902641638,-4.202890651332687,3.514,5.398,7.282
12.0,9.5,6.0,16.5,-9.403525463655448,-10.566782825296713,-4.02010099014248,3.52,5.416,7.276
12.0,9.5,6.0,17.0,-8.913751739976522,-10.849569852723375,-3.9498587675057055,3.502,5.38,7.234
12.0,9.5,6.0,17.5,-8.146821461946006,-12.0277275978227,-3.533551022632791,3.5380000000000003,5.434,7.294
12.0,9.5,6.0,18.0,-7.571073563630579,-12.70842995049847,-3.368863141155865,3.532,5.428,7.27
12.0,9.5,6.0,18.5,-7.089465183263759,-13.779450458338257,-3.223498694733715,3.544,5.452,7.288
12.0,10.0,3.0,16.0,-23.261250147862604,-17.675715795808983,-9.488969273743512,3.652,6.0760000000000005,7.342
12.0,10.0,3.0,16.5,-19.835532756392823,-20.43628177421257,-9.369300596520004,3.646,6.052,7.312
12.0,10.0,3.0,17.0,-17.640376995910565,-21.63159255818818,-8.450343089472943,3.676,6.082000000000001,7.348
12.0,10.0,3.0,17.5,-16.93961349549566,-29.04272672047526,-8.993206362400638,3.688,6.046,7.312
12.0,10.0,3.0,18.0,-14.664656737973278,-30.80627874313611,-7.956404403812176,3.688,6.106,7.324
12.0,10.0,3.0,18.5,-13.50613279393482,-37.35699355518686,-7.219461597716767,3.7,6.082000000000001,7.324
12.0,10.0,3.5,16.0,-19.12293671510385,-14.04030201488374,-8.272441442566995,3.598,5.914,7.276
12.0,10.0,3.5,16.5,-16.381901239146032,-16.099503919010402,-8.169399405967349,3.628,5.962,7.3
12.0,10.0,3.5,17.0,-14.351417970538437,-16.20717882846182,-7.326310410299816,3.622,5.932,7.276
12.0,10.0,3.5,17.5,-13.310587878156229,-17.904284618852838,-7.23571719455729,3.622,5.914,7.252
12.0,10.0,3.5,18.0,-12.348858336893326,-18.97668302343348,-6.194221007908418,3.634,5.962,7.282
12.0,10.0,3.5,18.5,-11.39556537719784,-21.88313082903839,-6.207690924115028,3.64,5.926,7.27
12.0,10.0,4.0,16.0,-15.409319932225085,-13.02789411723687,-6.923151295048372,3.5860000000000003,5.859999999999999,7.306
12.0,10.0,4.0,16.5,-13.835168243385503,-13.823726129656617,-6.615563562375749,3.598,5.859999999999999,7.306
12.0,10.0,4.0,17.0,-12.740622618533669,-14.95741378220626,-6.316045759602625,3.604,5.878,7.306
12.0,10.0,4.0,17.5,-11.662848840287364,-15.985339260970784,-5.960785592492814,3.604,5.866,7.306
12.0,10.0,4.0,18.0,-10.807834409545942,-17.2663290396077,-5.621431877192077,3.61,5.872,7.306
12.0,10.0,4.0,18.5,-9.999858215509288,-18.91755186605851,-5.332596042462785,3.61,5.878,7.312
12.0,10.0,4.5,16.0,-12.820904182724746,-11.514306100159192,-6.088987427971704,3.5380000000000003,5.728,7.27
12.0,10.0,4.5,16.5,-11.72880141152486,-12.30358288891617,-5.821511471767727,3.55,5.74,7.276
12.0,10.0,4.5,17.0,-10.937639226769363,-13.153385150320377,-5.510355754037491,3.556,5.746,7.276
12.0,10.0,4.5,17.5,-10.12768217461148,-14.107401377905871,-5.202500595407503,3.5620000000000003,5.752000000000001,7.276
12.0,10.0,4.5,18.0,-9.370693528878396,-15.296797785812071,-4.99710812421089,3.5620000000000003,5.758,7.276
12.0,10.0,4.5,18.5,-8.803567840534079,-16.579067398284163,-4.708528717215708,3.568,5.764,7.288
12.0,10.0,5.0,16.0,-10.961094417326647,-10.536941204411445,-5.218217604842952,3.49,5.59,7.234
12.0,10.0,5.0,16.5,-10.183086058689216,-11.182003313149796,-4.9365673235939616,3.496,5.602,7.228
12.0,10.0,5.0,17.0,-9.404101538101944,-11.915056524285015,-4.668214808320218,3.502,5.614,7.24
12.0,10.0,5.0,17.5,-8.794617825714536,-12.804838481239852,-4.512452235419238,3.508,5.626,7.24
12.0,10.0,5.0,18.0,-9.643274665532873e-16,-9.643274665532873e-16,-9.643274665532873e-16,2.692,2.722,2.734
12.0,10.0,5.0,18.5,-5.490041885724995,-14.74263428552745,-4.042302185883269,3.466,5.638,7.246
12.0,10.0,5.5,16.0,-9.505877688673117,-9.884885926404973,-4.318133902406696,3.436,5.458,7.192
12.0,10.0,5.5,16.5,-9.150829444862296,-10.120150614744707,-4.389836587024609,3.4,5.392,7.096
12.0,10.0,5.5,17.0,-5.693473630559341,-11.177707647318414,-3.888366308069226,3.394,5.482,7.192
